Provincia,Población,Latitud,Longitud,Altitud
Granada,Algarinejo,37.32492,-4.158846,596.2101
Granada,Alhama de Granada,37.00252,-3.988389,890.953
Granada,Alhendín,37.1076,-3.645584,736.6528
Granada,Alicún de Ortega,37.60968,-3.137986,692.778
Granada,Almegíjar,36.90245,-3.299801,811.4709
Granada,Almuñécar,36.73454,-3.690736,24.01802
Granada,Alpujarra de la Sierra,36.9815,-3.157129,1238.541
Granada,Alquife,37.17983,-3.116288,1202.946
Granada,Arenas del Rey,36.95771,-3.894323,870.3409
Granada,Armilla,37.1401,-3.617981,671.618
Granada,Atarfe,37.2229,-3.687416,604.92
Granada,Baza,37.49065,-2.774473,850.2978
Granada,Beas de Granada,37.21916,-3.481737,1068.34
Granada,Beas de Guadix,37.2794,-3.205976,955.7032
Granada,Benalúa,37.3503,-3.16904,858.6871
Granada,Benalúa de las Villas,37.42758,-3.683473,848.7814
Granada,Benamaurel,37.60913,-2.699214,719.2347
Granada,Bérchules,36.97672,-3.190379,1330.123
Granada,Bubión,36.94883,-3.356741,1298.578
Granada,Busquístar,36.93771,-3.294846,1160.204
Granada,Cacín,37.05995,-3.91689,701.9979
Granada,Cádiar,36.94673,-3.180546,926.387
Granada,Cájar,37.13422,-3.570618,730.5661
Granada,Calahorra (La),37.18137,-3.064513,1198.746
Granada,Calicasas,37.27329,-3.6182,764.5505
Granada,Campotéjar,37.48131,-3.616497,925.5419
Granada,Cáñar,36.92661,-3.428235,1026.397
Granada,Caniles,37.43626,-2.722401,914.9191
Granada,Capileira,36.96122,-3.358654,1444.893
Granada,Carataunas,36.92287,-3.408202,761.6864
Granada,Cástaras,36.93169,-3.253733,1021.059
Granada,Castilléjar,37.7147,-2.642967,770.9531
Granada,Castril,37.79573,-2.779088,904.8172
Granada,Cenes de la Vega,37.15931,-3.537524,746.4172
Granada,Chauchina,37.20142,-3.77254,552.4158
Granada,Chimeneas,37.13137,-3.823198,699.7101
Granada,Churriana de la Vega,37.14777,-3.64595,657.35
Granada,Cijuela,37.19989,-3.810801,539.7335
Granada,Cogollos de Guadix,37.22443,-3.161336,1142.019
Granada,Cogollos de la Vega,37.27486,-3.572908,997.7243
Granada,Colomera,37.37206,-3.71382,855.0217
Granada,Cortes de Baza,37.65493,-2.769917,707.9819
Granada,Cortes y Graena,37.30363,-3.218777,976.4355
Granada,Cuevas del Campo,37.60847,-2.931033,832.7582
Granada,Cúllar,37.58368,-2.576282,895.665
Granada,Cúllar Vega,37.15327,-3.670436,643.1689
Granada,Darro,37.35002,-3.292531,1115.744
Granada,Dehesas de Guadix,37.58868,-3.102278,684.2996
Granada,Deifontes,37.32524,-3.594484,744.6108
Granada,Diezma,37.32085,-3.331664,1227.448
Granada,Dílar,37.07499,-3.601624,878.0067
Granada,Dólar,37.18004,-2.989589,1204.454
Granada,Dúdar,37.18567,-3.484442,812.0253
Granada,Dúrcal,36.98793,-3.56616,786.6514
Granada,Escúzar,37.06251,-3.761499,873.6536
Granada,Ferreira,37.17229,-3.036083,1267.67
Granada,Fonelas,37.41344,-3.173344,785.6204
Granada,Freila,37.52869,-2.906795,824.4169
Granada,Fuente Vaqueros,37.21957,-3.783053,545.4914
Granada,Gabias (Las),37.135,-3.698333,703.1069
Granada,Galera,37.74289,-2.551193,837.2482
Granada,Gobernador,37.47737,-3.320455,1039.05
Granada,Gójar,37.10443,-3.606203,791.8748
Granada,Gor,37.36952,-2.969444,1241.51
Granada,Gorafe,37.47902,-3.044275,847.6644
Granada,Granada,37.17649,-3.597929,697.486
Granada,Guadahortuna,37.55655,-3.400713,968.3403
Granada,Guadix,37.3004,-3.134583,919.4025
Granada,Guajares (Los),36.84568,-3.61165,475.6051
Granada,Gualchos,36.74357,-3.389869,335.95
Granada,Güejar Sierra,37.15992,-3.438619,1098.16
Granada,Güevéjar,37.25698,-3.597678,876.2341
Granada,Huélago,37.4198,-3.260146,914.9307
Granada,Huéneja,37.17693,-2.948596,1155.85
Granada,Huéscar,37.80949,-2.539663,959.9781
Granada,Huétor de Santillán,37.21823,-3.517399,1019.823
Granada,Huétor Tájar,37.19463,-4.047139,489
Granada,Huétor Vega,37.15238,-3.575904,739.9867
Granada,Illora,37.28843,-3.879782,775.8689
Granada,Itrabo,36.79948,-3.638711,384.3103
Granada,Iznalloz,37.3927,-3.527549,816.3354
Granada,Jayena,36.94883,-3.822807,911.8392
Granada,Jerez del Marquesado,37.18385,-3.159872,1237.271
Granada,Jete,36.79732,-3.668151,134.2804
Granada,Jun,37.22064,-3.59443,763.6108
Granada,Juviles,36.94825,-3.225788,1258.52
Granada,Láchar,37.19508,-3.834064,559.7148
Granada,Lanjarón,36.91806,-3.480488,662.3086
Granada,Lanteira,37.1689,-3.138551,1279.618
Granada,Lecrín,36.9477,-3.550382,705.3149
Granada,Lentegí,36.8343,-3.674449,638.0128
Granada,Lobras,36.92786,-3.212306,917.7236
Granada,Loja,37.16884,-4.151471,456.7311
Granada,Lugros,37.23069,-3.240909,1241.42
Granada,Lújar,36.78755,-3.401651,509.9037
Granada,Malahá (La),37.10146,-3.722502,709.616
Granada,Maracena,37.20568,-3.636805,649.4002
Granada,Marchal,37.2962,-3.202323,926.4476
Granada,Moclín,37.34158,-3.786422,1061.082
Granada,Molvízar,36.78689,-3.607518,239.2467
Granada,Monachil,37.13209,-3.539469,811.2473
Granada,Montefrío,37.32097,-4.011364,835.1361
Granada,Montejícar,37.57196,-3.5047,1145.294
Granada,Montillana,37.50127,-3.672423,1019.378
Granada,Moraleda de Zafayona,37.16977,-3.965147,621.8634
Granada,Morelábor,37.43111,-3.310278,1023.947
Granada,Motril,36.74467,-3.516718,41.48437
Granada,Murtas,36.88737,-3.108971,1134.923
Granada,Nevada,37,-3.016667,792.3126
Granada,Nigüelas,36.97741,-3.539319,927.8786
Granada,Nívar,37.25794,-3.577918,1038.031
Granada,Ogíjares,37.11991,-3.607937,721.7737
Granada,Orce,37.72141,-2.479451,932.2527
Granada,Órgiva,36.90224,-3.42399,465.8732
Granada,Otívar,36.81491,-3.681497,266.5227
Granada,Otura,37.09431,-3.635073,783.0234
Granada,Padul,37.02432,-3.626719,757.9304
Granada,Pampaneira,36.94004,-3.361339,1054.911
Granada,Pedro Martínez,37.50168,-3.230659,1036.34
Granada,Peligros,37.23122,-3.629415,687.5328
Granada,Peza (La),37.2756,-3.284761,996.5889
Granada,Píñar,37.44337,-3.439418,912.619
Granada,Pinar (El),37.44337,-3.439418,912.619
Granada,Pinos Genil,37.16339,-3.502635,777.8843
Granada,Pinos Puente,37.25146,-3.750995,575.2888
Granada,Polícar,37.25764,-3.232102,1146.402
Granada,Polopos,36.79553,-3.297135,783.9265
Granada,Pórtugos,36.94241,-3.310386,1312.607
Granada,Puebla de Don Fadrique,37.9579,-2.43508,1160.896
Granada,Pulianas,37.22264,-3.608163,728.1589
Granada,Purullena,37.31759,-3.190274,907.9955
Granada,Quéntar,37.19201,-3.468192,855.6412
Granada,Rubite,36.80884,-3.348044,778.7302
Granada,Salar,37.14882,-4.067732,545.4207
Granada,Salobreña,36.74626,-3.587108,20.95912
Granada,Santa Cruz del Comercio,37.06024,-3.976717,737.3204
Granada,Santa Fe,37.18936,-3.719076,582.6545
Granada,Soportújar,36.92839,-3.405133,944.0207
Granada,Sorvilán,36.79442,-3.267524,769.9988
Granada,Taha (La),36.93333,-3.316667,1100.905
Granada,Torre-Cardela,37.50457,-3.356015,1219.53
Granada,Torvizcón,36.87788,-3.298552,667.7946
Granada,Trevélez,37.00245,-3.266871,1542.32
Granada,Turón,36.86357,-3.057771,698.5202
Granada,Ugíjar,36.96075,-3.054754,547.5222
Granada,Valle (El),37.28611,-3.008889,1245.152
Granada,Valle del Zalabí,37.28611,-3.008889,1245.152
Granada,Válor,36.99589,-3.083123,901.9865
Granada,Vegas del Genil,37.16667,-3.7,615
Granada,Vélez de Benaudalla,36.83195,-3.516209,170.5154
Granada,Ventas de Huelma,37.06853,-3.822133,858.721
Granada,Villamena,36.99035,-3.588935,762.7578
Granada,Villanueva de las Torres,37.55663,-3.090193,645.9392
Granada,Villanueva Mesía,37.2142,-4.011248,493.5079
Granada,Víznar,37.23108,-3.553835,1074.323
Granada,Zafarraya,36.97551,-4.144421,896.4373
Granada,Zagra,37.25303,-4.168132,680.0646
Granada,Zubia (La),37.12061,-3.584668,744.7736
Granada,Zújar,37.54015,-2.842817,771.5205
Huelva,Alájar,37.87439,-6.666078,578.1751
Huelva,Aljaraque,37.27111,-7.021585,36.69819
Huelva,Almendro (El),37.50693,-7.270019,235.1584
Huelva,Almonaster la Real,37.87181,-6.787901,581.577
Huelva,Almonte,37.26254,-6.51724,77.07417
Huelva,Alosno,37.54936,-7.115428,183.9688
Huelva,Aracena,37.89417,-6.561207,673.9959
Huelva,Aroche,37.94426,-6.954265,407.155
Huelva,Arroyomolinos de León,38.02604,-6.421104,599.7921
Huelva,Ayamonte,37.21466,-7.409819,3.156081
Huelva,Beas,37.42592,-6.792988,120.9826
Huelva,Berrocal,38,-6.883333,465.0762
Huelva,Bollullos Par del Condado,37.33615,-6.535758,116.0159
Huelva,Bonares,37.3219,-6.680697,82.23658
Huelva,Cabezas Rubias,37.7265,-7.087451,222.5471
Huelva,Cala,37.97217,-6.31649,594.0731
Huelva,Calañas,37.65482,-6.878683,297.4208
Huelva,Campillo (El),37.69332,-6.630814,434.6812
Huelva,Campofrío,37.76776,-6.573099,518.697
Huelva,Cañaveral de León,38.01454,-6.527808,545.9366
Huelva,Cartaya,37.28314,-7.154979,24.17416
Huelva,Castaño del Robledo,37.8951,-6.703943,739.8133
Huelva,Cerro de Andévalo (El),37.73519,-6.938734,301.119
Huelva,Chucena,37.36157,-6.393946,148.2157
Huelva,Corteconcepción,37.89585,-6.505878,581.7432
Huelva,Cortegana,37.90937,-6.820616,686.309
Huelva,Cortelazor,37.93554,-6.624768,624.8343
Huelva,Cumbres de Enmedio,38.07224,-6.692877,592.3164
Huelva,Cumbres de San Bartolomé,38.07691,-6.743336,579.4737
Huelva,Cumbres Mayores,38.0637,-6.647074,694.7698
Huelva,Encinasola,38.13522,-6.872141,430.9646
Huelva,Escacena del Campo,37.41033,-6.389561,172
Huelva,Fuenteheridos,37.90327,-6.660661,711.6528
Huelva,Galaroza,37.92757,-6.709221,562.1963
Huelva,Gibraleón,37.37495,-6.970141,29.21607
Huelva,Granada de Río-Tinto (La),37.23156,-6.91823,0
Huelva,Granado (El),37.26469,-6.926992,18.32656
Huelva,Higuera de la Sierra,37.83819,-6.447579,627.3121
Huelva,Hinojales,38.00843,-6.589147,615.3049
Huelva,Hinojos,37.29273,-6.376253,83.66503
Huelva,Huelva,37.2571,-6.949555,20.74414
Huelva,Isla Cristina,37.19943,-7.325246,6.336774
Huelva,Jabugo,37.91671,-6.729078,658.2429
Huelva,Lepe,37.25432,-7.203348,24.5359
Huelva,Linares de la Sierra,37.88009,-6.621002,490.7656
Huelva,Lucena del Puerto,37.30394,-6.730086,83.68538
Huelva,Manzanilla,37.38773,-6.429422,163.7289
Huelva,Marines (Los),37.90303,-6.62332,723.576
Huelva,Minas de Riotinto,37.69391,-6.591848,417.6434
Huelva,Moguer,37.27469,-6.836591,53.91101
Huelva,Nava (La),37.96342,-6.745746,424.0233
Huelva,Nerva,37.69511,-6.550632,336.9252
Huelva,Niebla,37.3601,-6.6792,42.88836
Huelva,Palma del Condado (La),37.38784,-6.5534,96.01058
Huelva,Palos de la Frontera,37.2282,-6.893426,29.09229
Huelva,Paterna del Campo,37.42096,-6.401431,184.3562
Huelva,Paymogo,37.74063,-7.345994,180.5523
Huelva,Puebla de Guzmán,37.61144,-7.245831,212.8246
Huelva,Puerto Moral,37.89208,-6.47877,519.9462
Huelva,Punta Umbría,37.18248,-6.967148,7.50116
Huelva,Rociana del Condado,37.30781,-6.598672,97.39848
Huelva,Rosal de la Frontera,37.9678,-7.220527,221.4779
Huelva,San Bartolomé de la Torre,37.44596,-7.106683,131.2254
Huelva,San Juan del Puerto,37.31416,-6.840784,8
Huelva,San Silvestre de Guzmán,37.3884,-7.350305,152.8138
Huelva,Sanlúcar de Guadiana,37.47318,-7.467861,15.38703
Huelva,Santa Ana la Real,37.86396,-6.724445,637.6948
Huelva,Santa Bárbara de Casa,37.79655,-7.188633,310.5924
Huelva,Santa Olalla del Cala,37.90651,-6.229617,518.6226
Huelva,Trigueros,37.38319,-6.833752,78.58913
Huelva,Valdelarco,37.95044,-6.683222,619.3045
Huelva,Valverde del Camino,37.57339,-6.753376,282.4763
Huelva,Villablanca,37.30373,-7.341905,95.63974
Huelva,Villalba del Alcor,37.39729,-6.476595,161.8071
Huelva,Villanueva de las Cruces,37.62762,-7.024521,119.6258
Huelva,Villanueva de los Castillejos,37.50046,-7.272443,225
Huelva,Villarrasa,37.38945,-6.606914,66.98409
Huelva,Zalamea la Real,37.67891,-6.660578,409.5469
Huelva,Zufre,37.83384,-6.338613,441.5297
Jaén,Albanchez de Mágina,37.79165,-3.468285,838.4496
Jaén,Alcalá la Real,37.46358,-3.925078,929.4698
Jaén,Alcaudete,37.59106,-4.086735,660.8123
Jaén,Aldeaquemada,38.41182,-3.371774,700.2711
Jaén,Andújar,38.03675,-4.054391,215.333
Jaén,Arjona,37.93648,-4.054891,436.5915
Jaén,Arjonilla,37.97355,-4.107027,348.891
Jaén,Arquillos,38.18201,-3.430886,382.3034
Jaén,Arroyo del Ojanco,38.32092,-2.894979,540.2305
Jaén,Baeza,37.99343,-3.469237,759.475
Jaén,Bailén,38.09588,-3.774859,350.999
Jaén,Baños de la Encina,38.17133,-3.774258,419.4892
Jaén,Beas de Segura,38.25238,-2.889883,581.1347
Jaén,Bedmar y Garcíez,37.82271,-3.411761,645.4688
Jaén,Begíjar,37.98452,-3.53483,556.9252
Jaén,Bélmez de la Moraleda,37.7239,-3.38222,863.7288
Jaén,Benatae,38.35257,-2.650866,854.9232
Jaén,Cabra del Santo Cristo,37.70535,-3.286108,946.8475
Jaén,Cambil,37.67691,-3.565627,766.1705
Jaén,Campillo de Arenas,37.55593,-3.635789,873.8444
Jaén,Canena,38.04868,-3.482172,522.5807
Jaén,Carboneros,38.22952,-3.631522,403.3349
Jaén,Cárcheles,37.6533,-3.635799,797.9011
Jaén,Carolina (La),38.27468,-3.615412,598.452
Jaén,Castellar,38.25621,-3.131925,755.1962
Jaén,Castillo de Locubín,37.52826,-3.943678,702.9443
Jaén,Cazalilla,37.9846,-3.882231,299.448
Jaén,Cazorla,37.91055,-3.002167,803.9982
Jaén,Chiclana de Segura,38.31147,-3.042188,849.2234
Jaén,Chilluévar,38.00106,-3.031099,731.5903
Jaén,Escañuela,37.87872,-4.033281,319.1237
Jaén,Espelúy,38.03308,-3.861802,279.3584
Jaén,Frailes,37.48515,-3.838214,965.3821
Jaén,Fuensanta de Martos,37.64784,-3.906,739.0327
Jaén,Fuerte del Rey,37.87396,-3.884589,436.6272
Jaén,Génave,38.43014,-2.732766,828.0142
